Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, epochs=1000, eval=False, exp_name='exp24_sa16_lr2e_3_b64_0820', lr=0.002, model_path='/model_27431.t7', momentum=0.9, no_cuda=False, num_points=27431, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.037380, mean_absolute_error: 1.393098, r2_score: -0.371408
Validation 23, loss: 1.010003, mean_absolute_error: 0.800513, r2_score: 0.556028
Train 24, loss: 1.249422, mean_absolute_error: 0.872691, r2_score: 0.436441
Validation 24, loss: 1.000710, mean_absolute_error: 0.792527, r2_score: 0.560113
Train 25, loss: 1.230156, mean_absolute_error: 0.864606, r2_score: 0.444908
Validation 25, loss: 0.974209, mean_absolute_error: 0.779964, r2_score: 0.571762
Train 26, loss: 1.197067, mean_absolute_error: 0.855991, r2_score: 0.459756
Validation 26, loss: 0.953199, mean_absolute_error: 0.769829, r2_score: 0.580998
Train 27, loss: 1.188171, mean_absolute_error: 0.849083, r2_score: 0.463828
Validation 27, loss: 1.146858, mean_absolute_error: 0.836900, r2_score: 0.495870
Train 28, loss: 1.211666, mean_absolute_error: 0.858752, r2_score: 0.453213
Validation 28, loss: 1.067063, mean_absolute_error: 0.833648, r2_score: 0.530946
Train 29, loss: 1.189411, mean_absolute_error: 0.848204, r2_score: 0.463179
Validation 29, loss: 0.902397, mean_absolute_error: 0.745624, r2_score: 0.603329
Train 30, loss: 1.154184, mean_absolute_error: 0.840388, r2_score: 0.478746
Validation 30, loss: 0.933227, mean_absolute_error: 0.763120, r2_score: 0.589777
Train 31, loss: 1.158462, mean_absolute_error: 0.850425, r2_score: 0.477102
Validation 31, loss: 1.020905, mean_absolute_error: 0.796114, r2_score: 0.551236
Train 32, loss: 1.156127, mean_absolute_error: 0.849097, r2_score: 0.477964
Validation 32, loss: 0.968046, mean_absolute_error: 0.797902, r2_score: 0.574471
Train 33, loss: 1.152041, mean_absolute_error: 0.846108, r2_score: 0.479862
Validation 33, loss: 0.995496, mean_absolute_error: 0.779968, r2_score: 0.562405
Train 34, loss: 1.133114, mean_absolute_error: 0.837729, r2_score: 0.488654
Validation 34, loss: 0.902956, mean_absolute_error: 0.751480, r2_score: 0.603083
Train 35, loss: 1.102326, mean_absolute_error: 0.836433, r2_score: 0.502407
Validation 35, loss: 0.975064, mean_absolute_error: 0.794792, r2_score: 0.571387
Train 36, loss: 1.097068, mean_absolute_error: 0.828397, r2_score: 0.504547
Validation 36, loss: 0.898844, mean_absolute_error: 0.753842, r2_score: 0.604891
Train 37, loss: 1.111210, mean_absolute_error: 0.830721, r2_score: 0.498539
Validation 37, loss: 1.024898, mean_absolute_error: 0.785251, r2_score: 0.549481
Train 38, loss: 1.130692, mean_absolute_error: 0.836695, r2_score: 0.489967
Validation 38, loss: 0.936958, mean_absolute_error: 0.786951, r2_score: 0.588137
Train 39, loss: 1.140328, mean_absolute_error: 0.844753, r2_score: 0.485513
Validation 39, loss: 1.086516, mean_absolute_error: 0.831790, r2_score: 0.522395
Train 40, loss: 1.099701, mean_absolute_error: 0.829189, r2_score: 0.503075
Validation 40, loss: 1.185097, mean_absolute_error: 0.862250, r2_score: 0.479061
Train 41, loss: 1.091675, mean_absolute_error: 0.824814, r2_score: 0.507401
Validation 41, loss: 0.873092, mean_absolute_error: 0.749537, r2_score: 0.616211
Train 42, loss: 1.143107, mean_absolute_error: 0.842510, r2_score: 0.483778
Validation 42, loss: 1.071871, mean_absolute_error: 0.802245, r2_score: 0.528833
Train 43, loss: 1.102474, mean_absolute_error: 0.832434, r2_score: 0.502363
Validation 43, loss: 0.842141, mean_absolute_error: 0.718576, r2_score: 0.629816
Train 44, loss: 1.095890, mean_absolute_error: 0.826788, r2_score: 0.505797
Validation 44, loss: 0.870820, mean_absolute_error: 0.746968, r2_score: 0.617210
Train 45, loss: 1.091533, mean_absolute_error: 0.824924, r2_score: 0.507641
Validation 45, loss: 0.893278, mean_absolute_error: 0.738153, r2_score: 0.607337
Train 46, loss: 1.102565, mean_absolute_error: 0.825355, r2_score: 0.502214
Validation 46, loss: 0.897566, mean_absolute_error: 0.743474, r2_score: 0.605453
Train 47, loss: 1.092553, mean_absolute_error: 0.825547, r2_score: 0.507014
Validation 47, loss: 0.972129, mean_absolute_error: 0.788848, r2_score: 0.572677
Train 48, loss: 1.100702, mean_absolute_error: 0.826862, r2_score: 0.503367
Validation 48, loss: 0.920037, mean_absolute_error: 0.759112, r2_score: 0.595575
Train 49, loss: 1.153093, mean_absolute_error: 0.845963, r2_score: 0.479463
Validation 49, loss: 1.025018, mean_absolute_error: 0.812751, r2_score: 0.549428
Train 50, loss: 1.137774, mean_absolute_error: 0.848930, r2_score: 0.486464
Validation 50, loss: 0.937188, mean_absolute_error: 0.774628, r2_score: 0.588036
Train 51, loss: 1.122417, mean_absolute_error: 0.836631, r2_score: 0.493407
Validation 51, loss: 1.028679, mean_absolute_error: 0.809181, r2_score: 0.547819
Train 52, loss: 1.192243, mean_absolute_error: 0.859023, r2_score: 0.462126
Validation 52, loss: 0.929453, mean_absolute_error: 0.777385, r2_score: 0.591436
Train 53, loss: 1.122052, mean_absolute_error: 0.835094, r2_score: 0.493185
Validation 53, loss: 0.975901, mean_absolute_error: 0.797741, r2_score: 0.571019
Train 54, loss: 1.109976, mean_absolute_error: 0.831931, r2_score: 0.498682
Validation 54, loss: 0.970430, mean_absolute_error: 0.804998, r2_score: 0.573423
Train 55, loss: 1.106588, mean_absolute_error: 0.832505, r2_score: 0.500600
Validation 55, loss: 0.927015, mean_absolute_error: 0.771997, r2_score: 0.592508
Train 56, loss: 1.120295, mean_absolute_error: 0.834158, r2_score: 0.494478
Validation 56, loss: 0.932846, mean_absolute_error: 0.763571, r2_score: 0.589945
Train 57, loss: 1.101620, mean_absolute_error: 0.826563, r2_score: 0.502765
Validation 57, loss: 0.887614, mean_absolute_error: 0.746641, r2_score: 0.609827
Train 58, loss: 1.096628, mean_absolute_error: 0.824547, r2_score: 0.504512
Validation 58, loss: 0.838581, mean_absolute_error: 0.717839, r2_score: 0.631381
Train 59, loss: 1.120124, mean_absolute_error: 0.834004, r2_score: 0.494378
Validation 59, loss: 0.988185, mean_absolute_error: 0.792204, r2_score: 0.565619
Train 60, loss: 1.130493, mean_absolute_error: 0.838164, r2_score: 0.489703
Validation 60, loss: 0.860337, mean_absolute_error: 0.726697, r2_score: 0.621818
Train 61, loss: 1.102437, mean_absolute_error: 0.829255, r2_score: 0.502880
Validation 61, loss: 0.876720, mean_absolute_error: 0.747644, r2_score: 0.614616
Train 62, loss: 1.098370, mean_absolute_error: 0.826446, r2_score: 0.504639
Validation 62, loss: 0.884492, mean_absolute_error: 0.744334, r2_score: 0.611200
Train 63, loss: 1.088777, mean_absolute_error: 0.824753, r2_score: 0.508589
Validation 63, loss: 0.914898, mean_absolute_error: 0.764245, r2_score: 0.597834
Train 64, loss: 1.073614, mean_absolute_error: 0.813438, r2_score: 0.515366
Validation 64, loss: 0.997251, mean_absolute_error: 0.790519, r2_score: 0.561634
Train 65, loss: 1.083458, mean_absolute_error: 0.815311, r2_score: 0.510697
Validation 65, loss: 0.816741, mean_absolute_error: 0.712348, r2_score: 0.640981
Train 66, loss: 1.097915, mean_absolute_error: 0.825950, r2_score: 0.504439
Validation 66, loss: 0.903740, mean_absolute_error: 0.761096, r2_score: 0.602739
Train 67, loss: 1.140635, mean_absolute_error: 0.844439, r2_score: 0.485339
Validation 67, loss: 0.961842, mean_absolute_error: 0.771470, r2_score: 0.577199
Train 68, loss: 1.128747, mean_absolute_error: 0.833037, r2_score: 0.490862
Validation 68, loss: 0.912762, mean_absolute_error: 0.755967, r2_score: 0.598773
Train 69, loss: 1.261433, mean_absolute_error: 0.865821, r2_score: 0.431096
Validation 69, loss: 1.462747, mean_absolute_error: 0.943821, r2_score: 0.357013
Train 70, loss: 1.272461, mean_absolute_error: 0.871296, r2_score: 0.425986
Validation 70, loss: 0.905332, mean_absolute_error: 0.757465, r2_score: 0.602039
Train 71, loss: 1.109207, mean_absolute_error: 0.828353, r2_score: 0.499284
Validation 71, loss: 0.983947, mean_absolute_error: 0.785032, r2_score: 0.567482
Train 72, loss: 1.095513, mean_absolute_error: 0.825259, r2_score: 0.505432
Validation 72, loss: 1.024184, mean_absolute_error: 0.801618, r2_score: 0.549795
Train 73, loss: 1.099319, mean_absolute_error: 0.827445, r2_score: 0.503962
Validation 73, loss: 0.925574, mean_absolute_error: 0.762041, r2_score: 0.593141
Train 74, loss: 1.166789, mean_absolute_error: 0.848994, r2_score: 0.473138
Validation 74, loss: 0.954727, mean_absolute_error: 0.787657, r2_score: 0.580326
Train 75, loss: 1.077282, mean_absolute_error: 0.818925, r2_score: 0.513571
Validation 75, loss: 0.962448, mean_absolute_error: 0.773540, r2_score: 0.576932
Train 76, loss: 1.089219, mean_absolute_error: 0.820693, r2_score: 0.508496
Validation 76, loss: 1.030815, mean_absolute_error: 0.816966, r2_score: 0.546880
Train 77, loss: 1.092226, mean_absolute_error: 0.821875, r2_score: 0.507042
Validation 77, loss: 0.984613, mean_absolute_error: 0.794180, r2_score: 0.567189
Train 78, loss: 1.056400, mean_absolute_error: 0.809801, r2_score: 0.523010
Validation 78, loss: 0.859651, mean_absolute_error: 0.732152, r2_score: 0.622119
Train 79, loss: 1.077640, mean_absolute_error: 0.818154, r2_score: 0.513957
Validation 79, loss: 0.928190, mean_absolute_error: 0.775881, r2_score: 0.591991
Train 80, loss: 1.041290, mean_absolute_error: 0.801712, r2_score: 0.530294
Validation 80, loss: 0.967037, mean_absolute_error: 0.775984, r2_score: 0.574915
Train 81, loss: 1.079501, mean_absolute_error: 0.816059, r2_score: 0.512717
Validation 81, loss: 0.877954, mean_absolute_error: 0.748869, r2_score: 0.614074
Train 82, loss: 1.050409, mean_absolute_error: 0.806847, r2_score: 0.525912
Validation 82, loss: 0.990794, mean_absolute_error: 0.815518, r2_score: 0.564472
Train 83, loss: 1.060127, mean_absolute_error: 0.812095, r2_score: 0.521784
Validation 83, loss: 0.943525, mean_absolute_error: 0.765995, r2_score: 0.585250
Train 84, loss: 1.055409, mean_absolute_error: 0.810799, r2_score: 0.523467
Validation 84, loss: 1.014894, mean_absolute_error: 0.791504, r2_score: 0.553878
Train 85, loss: 1.105612, mean_absolute_error: 0.821414, r2_score: 0.501382
Validation 85, loss: 0.912694, mean_absolute_error: 0.744901, r2_score: 0.598803
Train 86, loss: 1.102155, mean_absolute_error: 0.823874, r2_score: 0.502508
Validation 86, loss: 0.881121, mean_absolute_error: 0.748260, r2_score: 0.612681
Train 87, loss: 1.076434, mean_absolute_error: 0.812074, r2_score: 0.514174
Validation 87, loss: 0.842384, mean_absolute_error: 0.715041, r2_score: 0.629709
Train 88, loss: 1.081309, mean_absolute_error: 0.813483, r2_score: 0.511888
Validation 88, loss: 1.052761, mean_absolute_error: 0.813700, r2_score: 0.537233
Train 89, loss: 1.081534, mean_absolute_error: 0.814588, r2_score: 0.511623
Validation 89, loss: 0.989195, mean_absolute_error: 0.795690, r2_score: 0.565175
Train 90, loss: 1.112443, mean_absolute_error: 0.815733, r2_score: 0.498190
Validation 90, loss: 0.912965, mean_absolute_error: 0.734218, r2_score: 0.598684
Train 91, loss: 1.429356, mean_absolute_error: 0.895452, r2_score: 0.355002
Validation 91, loss: 1.048125, mean_absolute_error: 0.806608, r2_score: 0.539271
Train 92, loss: 1.070206, mean_absolute_error: 0.815093, r2_score: 0.517090
Validation 92, loss: 0.925380, mean_absolute_error: 0.753222, r2_score: 0.593226
Train 93, loss: 1.085621, mean_absolute_error: 0.812788, r2_score: 0.510251
Validation 93, loss: 1.004246, mean_absolute_error: 0.798650, r2_score: 0.558559
Train 94, loss: 1.199152, mean_absolute_error: 0.846636, r2_score: 0.458619
Validation 94, loss: 1.051282, mean_absolute_error: 0.809600, r2_score: 0.537883
Train 95, loss: 1.158320, mean_absolute_error: 0.832160, r2_score: 0.477272
Validation 95, loss: 0.957177, mean_absolute_error: 0.784248, r2_score: 0.579249
Train 96, loss: 1.046400, mean_absolute_error: 0.800861, r2_score: 0.527386
Validation 96, loss: 0.855978, mean_absolute_error: 0.738071, r2_score: 0.623734
Train 97, loss: 1.063908, mean_absolute_error: 0.807179, r2_score: 0.519611
Validation 97, loss: 1.100583, mean_absolute_error: 0.821735, r2_score: 0.516212
Train 98, loss: 1.014599, mean_absolute_error: 0.791868, r2_score: 0.541341
Validation 98, loss: 0.827631, mean_absolute_error: 0.722238, r2_score: 0.636194
Train 99, loss: 1.004316, mean_absolute_error: 0.786749, r2_score: 0.546449
Validation 99, loss: 0.880729, mean_absolute_error: 0.757703, r2_score: 0.612854
Train 100, loss: 2.292782, mean_absolute_error: 1.106438, r2_score: -0.035376
Validation 100, loss: 1.268854, mean_absolute_error: 0.856557, r2_score: 0.442244
Train 101, loss: 3.696390, mean_absolute_error: 1.435280, r2_score: -0.668693
Validation 101, loss: 2.358201, mean_absolute_error: 1.155213, r2_score: -0.036605
Train 102, loss: 3.474607, mean_absolute_error: 1.390769, r2_score: -0.567830
Validation 102, loss: 2.656283, mean_absolute_error: 1.237644, r2_score: -0.167635
Train 103, loss: 3.783166, mean_absolute_error: 1.458389, r2_score: -0.708983
Validation 103, loss: 2.527811, mean_absolute_error: 1.221371, r2_score: -0.111162
Train 104, loss: 4.023399, mean_absolute_error: 1.504185, r2_score: -0.815411
Validation 104, loss: 3.455639, mean_absolute_error: 1.382844, r2_score: -0.519011
Train 105, loss: 4.262762, mean_absolute_error: 1.544197, r2_score: -0.923200
Validation 105, loss: 2.765466, mean_absolute_error: 1.246802, r2_score: -0.215629
Train 106, loss: 4.128654, mean_absolute_error: 1.520029, r2_score: -0.862376
Validation 106, loss: 2.131271, mean_absolute_error: 1.107247, r2_score: 0.063147
Train 107, loss: 2.951590, mean_absolute_error: 1.286196, r2_score: -0.331738
Validation 107, loss: 1.660627, mean_absolute_error: 1.041610, r2_score: 0.270031
Train 108, loss: 1.894762, mean_absolute_error: 1.061336, r2_score: 0.145358
Validation 108, loss: 1.765774, mean_absolute_error: 1.031086, r2_score: 0.223811
Train 109, loss: 1.741952, mean_absolute_error: 1.004910, r2_score: 0.213889
Validation 109, loss: 0.937783, mean_absolute_error: 0.775574, r2_score: 0.587774
Train 110, loss: 1.723956, mean_absolute_error: 0.998607, r2_score: 0.222013
Validation 110, loss: 1.000657, mean_absolute_error: 0.799792, r2_score: 0.560136
Train 111, loss: 1.453121, mean_absolute_error: 0.930359, r2_score: 0.344183
Validation 111, loss: 0.868761, mean_absolute_error: 0.740050, r2_score: 0.618115
Train 112, loss: 1.486473, mean_absolute_error: 0.932289, r2_score: 0.328881
Validation 112, loss: 0.977477, mean_absolute_error: 0.769989, r2_score: 0.570326
Train 113, loss: 1.402893, mean_absolute_error: 0.910493, r2_score: 0.366630
Validation 113, loss: 0.963312, mean_absolute_error: 0.794617, r2_score: 0.576552
Train 114, loss: 1.096242, mean_absolute_error: 0.817018, r2_score: 0.505093
Validation 114, loss: 0.968768, mean_absolute_error: 0.798846, r2_score: 0.574154
Train 115, loss: 1.073339, mean_absolute_error: 0.814012, r2_score: 0.515570
Validation 115, loss: 0.867506, mean_absolute_error: 0.747781, r2_score: 0.618666
Train 116, loss: 1.103389, mean_absolute_error: 0.817777, r2_score: 0.502347
Validation 116, loss: 0.847303, mean_absolute_error: 0.723828, r2_score: 0.627547
Train 117, loss: 1.200563, mean_absolute_error: 0.847582, r2_score: 0.458186
Validation 117, loss: 0.867233, mean_absolute_error: 0.729011, r2_score: 0.618786
Train 118, loss: 1.038361, mean_absolute_error: 0.794464, r2_score: 0.531740
Validation 118, loss: 0.871318, mean_absolute_error: 0.727904, r2_score: 0.616991
Train 119, loss: 1.379076, mean_absolute_error: 0.897729, r2_score: 0.377436
Validation 119, loss: 0.866859, mean_absolute_error: 0.732233, r2_score: 0.618951
Train 120, loss: 1.043434, mean_absolute_error: 0.799209, r2_score: 0.528976
Validation 120, loss: 1.042691, mean_absolute_error: 0.796528, r2_score: 0.541659
Train 121, loss: 0.995477, mean_absolute_error: 0.782321, r2_score: 0.550338
Validation 121, loss: 0.861251, mean_absolute_error: 0.735621, r2_score: 0.621416
Train 122, loss: 0.992567, mean_absolute_error: 0.781797, r2_score: 0.551639
Validation 122, loss: 0.822274, mean_absolute_error: 0.718501, r2_score: 0.638549
Train 123, loss: 0.985122, mean_absolute_error: 0.777668, r2_score: 0.555137
Validation 123, loss: 0.843782, mean_absolute_error: 0.719479, r2_score: 0.629095
Train 124, loss: 1.022039, mean_absolute_error: 0.784221, r2_score: 0.538903
Validation 124, loss: 0.862882, mean_absolute_error: 0.741794, r2_score: 0.620699
Train 125, loss: 0.996706, mean_absolute_error: 0.783341, r2_score: 0.550240
Validation 125, loss: 0.803647, mean_absolute_error: 0.701092, r2_score: 0.646737
Train 126, loss: 0.981930, mean_absolute_error: 0.779016, r2_score: 0.556410
Validation 126, loss: 1.024806, mean_absolute_error: 0.801423, r2_score: 0.549521
Train 127, loss: 0.980882, mean_absolute_error: 0.777915, r2_score: 0.557023
Validation 127, loss: 0.892859, mean_absolute_error: 0.750169, r2_score: 0.607522
Train 128, loss: 0.989284, mean_absolute_error: 0.780649, r2_score: 0.553026
Validation 128, loss: 0.868492, mean_absolute_error: 0.746480, r2_score: 0.618233
Train 129, loss: 1.078035, mean_absolute_error: 0.797725, r2_score: 0.513745
Validation 129, loss: 0.873332, mean_absolute_error: 0.722979, r2_score: 0.616105
Train 130, loss: 1.467950, mean_absolute_error: 0.905836, r2_score: 0.337703
Validation 130, loss: 0.838445, mean_absolute_error: 0.720711, r2_score: 0.631441
Train 131, loss: 1.360861, mean_absolute_error: 0.866653, r2_score: 0.385474
Validation 131, loss: 2.802181, mean_absolute_error: 1.307371, r2_score: -0.231768
Train 132, loss: 2.215047, mean_absolute_error: 1.065341, r2_score: 0.000738
Validation 132, loss: 0.915153, mean_absolute_error: 0.749104, r2_score: 0.597722
Train 133, loss: 0.981049, mean_absolute_error: 0.777732, r2_score: 0.556832
Validation 133, loss: 0.771649, mean_absolute_error: 0.690052, r2_score: 0.660803
Train 134, loss: 0.989480, mean_absolute_error: 0.777753, r2_score: 0.553454
Validation 134, loss: 0.783949, mean_absolute_error: 0.690389, r2_score: 0.655396
Train 135, loss: 0.981404, mean_absolute_error: 0.775954, r2_score: 0.557415
Validation 135, loss: 0.858002, mean_absolute_error: 0.717447, r2_score: 0.622844
Train 136, loss: 0.976952, mean_absolute_error: 0.775107, r2_score: 0.559191
Validation 136, loss: 0.866380, mean_absolute_error: 0.736949, r2_score: 0.619161
Train 137, loss: 0.996879, mean_absolute_error: 0.779090, r2_score: 0.550215
Validation 137, loss: 0.846369, mean_absolute_error: 0.724325, r2_score: 0.627958
Train 138, loss: 0.977413, mean_absolute_error: 0.775699, r2_score: 0.559129
Validation 138, loss: 0.865170, mean_absolute_error: 0.724060, r2_score: 0.619693
Train 139, loss: 0.960086, mean_absolute_error: 0.766788, r2_score: 0.566809
Validation 139, loss: 0.787988, mean_absolute_error: 0.697370, r2_score: 0.653620
Train 140, loss: 0.949164, mean_absolute_error: 0.763649, r2_score: 0.571568
Validation 140, loss: 0.868575, mean_absolute_error: 0.731060, r2_score: 0.618196
Train 141, loss: 0.970061, mean_absolute_error: 0.771534, r2_score: 0.562071
Validation 141, loss: 0.815329, mean_absolute_error: 0.704779, r2_score: 0.641602
Train 142, loss: 0.980341, mean_absolute_error: 0.767640, r2_score: 0.557487
Validation 142, loss: 0.800592, mean_absolute_error: 0.698653, r2_score: 0.648080
Train 143, loss: 0.996202, mean_absolute_error: 0.777626, r2_score: 0.550494
Validation 143, loss: 0.886645, mean_absolute_error: 0.729196, r2_score: 0.610253
Train 144, loss: 0.973090, mean_absolute_error: 0.770593, r2_score: 0.560790
Validation 144, loss: 0.955996, mean_absolute_error: 0.755296, r2_score: 0.579768
Train 145, loss: 0.938649, mean_absolute_error: 0.759651, r2_score: 0.576124
Validation 145, loss: 0.804466, mean_absolute_error: 0.686755, r2_score: 0.646377
Train 146, loss: 0.916185, mean_absolute_error: 0.751589, r2_score: 0.586538
Validation 146, loss: 0.779725, mean_absolute_error: 0.699276, r2_score: 0.657253
Train 147, loss: 0.937823, mean_absolute_error: 0.756745, r2_score: 0.576860
Validation 147, loss: 0.872290, mean_absolute_error: 0.716496, r2_score: 0.616563
Train 148, loss: 0.942271, mean_absolute_error: 0.757973, r2_score: 0.574759
Validation 148, loss: 0.815448, mean_absolute_error: 0.722938, r2_score: 0.641550
Train 149, loss: 0.933693, mean_absolute_error: 0.754489, r2_score: 0.578226
Validation 149, loss: 0.788570, mean_absolute_error: 0.690023, r2_score: 0.653365
Train 150, loss: 0.932972, mean_absolute_error: 0.758109, r2_score: 0.578614
Validation 150, loss: 0.764268, mean_absolute_error: 0.684371, r2_score: 0.664047
Train 151, loss: 0.945313, mean_absolute_error: 0.754879, r2_score: 0.573244
Validation 151, loss: 0.782241, mean_absolute_error: 0.670820, r2_score: 0.656147
Train 152, loss: 1.181277, mean_absolute_error: 0.815587, r2_score: 0.466760
Validation 152, loss: 0.819109, mean_absolute_error: 0.721081, r2_score: 0.639941
Train 153, loss: 0.994440, mean_absolute_error: 0.782977, r2_score: 0.551043
Validation 153, loss: 1.553034, mean_absolute_error: 0.983985, r2_score: 0.317326
Train 154, loss: 2.327178, mean_absolute_error: 1.147426, r2_score: -0.050192
Validation 154, loss: 1.279232, mean_absolute_error: 0.877217, r2_score: 0.437682
Train 155, loss: 1.814188, mean_absolute_error: 1.038474, r2_score: 0.180552
Validation 155, loss: 1.361848, mean_absolute_error: 0.940742, r2_score: 0.401366
Train 156, loss: 1.152129, mean_absolute_error: 0.843411, r2_score: 0.479232
Validation 156, loss: 0.893356, mean_absolute_error: 0.761411, r2_score: 0.607303
Train 157, loss: 1.003113, mean_absolute_error: 0.786790, r2_score: 0.547309
Validation 157, loss: 0.798448, mean_absolute_error: 0.700136, r2_score: 0.649023
Train 158, loss: 0.966943, mean_absolute_error: 0.766965, r2_score: 0.563789
Validation 158, loss: 0.927909, mean_absolute_error: 0.773194, r2_score: 0.592115
Train 159, loss: 0.966733, mean_absolute_error: 0.766958, r2_score: 0.563759
Validation 159, loss: 0.772352, mean_absolute_error: 0.693835, r2_score: 0.660494
Train 160, loss: 0.942911, mean_absolute_error: 0.759693, r2_score: 0.574205
Validation 160, loss: 0.781091, mean_absolute_error: 0.683645, r2_score: 0.656652
Train 161, loss: 0.937453, mean_absolute_error: 0.755846, r2_score: 0.576791
Validation 161, loss: 0.744310, mean_absolute_error: 0.664909, r2_score: 0.672820
Train 162, loss: 0.951743, mean_absolute_error: 0.761273, r2_score: 0.570173
Validation 162, loss: 0.762497, mean_absolute_error: 0.681369, r2_score: 0.664825
Train 163, loss: 0.918149, mean_absolute_error: 0.750596, r2_score: 0.585594
Validation 163, loss: 0.755437, mean_absolute_error: 0.687785, r2_score: 0.667929
Train 164, loss: 0.929936, mean_absolute_error: 0.757161, r2_score: 0.580338
Validation 164, loss: 0.762329, mean_absolute_error: 0.679605, r2_score: 0.664899
Train 165, loss: 0.942636, mean_absolute_error: 0.757124, r2_score: 0.574346
Validation 165, loss: 0.779719, mean_absolute_error: 0.695341, r2_score: 0.657255
Train 166, loss: 0.935614, mean_absolute_error: 0.753416, r2_score: 0.577512
Validation 166, loss: 0.758570, mean_absolute_error: 0.675326, r2_score: 0.666552
Train 167, loss: 0.918542, mean_absolute_error: 0.747278, r2_score: 0.585467
Validation 167, loss: 0.791532, mean_absolute_error: 0.696603, r2_score: 0.652063
Train 168, loss: 0.948964, mean_absolute_error: 0.760908, r2_score: 0.571211
