Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, epochs=1000, eval=False, exp_name='sa16_lr5e_4_b16_0820', lr=0.0005, model_path='/model_27431.t7', momentum=0.9, no_cuda=False, num_points=27431, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.203070, mean_absolute_error: 1.427596, r2_score: -0.445943
Train 25, loss: 1.511951, mean_absolute_error: 0.978420, r2_score: 0.317598
Validation 25, loss: 1.257708, mean_absolute_error: 0.894063, r2_score: 0.447143
Train 26, loss: 1.461615, mean_absolute_error: 0.959559, r2_score: 0.340566
Validation 26, loss: 1.288926, mean_absolute_error: 0.906399, r2_score: 0.433421
Train 27, loss: 1.443564, mean_absolute_error: 0.954693, r2_score: 0.348446
Validation 27, loss: 1.205384, mean_absolute_error: 0.882799, r2_score: 0.470144
Train 28, loss: 1.373242, mean_absolute_error: 0.928514, r2_score: 0.380171
Validation 28, loss: 1.408220, mean_absolute_error: 0.952030, r2_score: 0.380982
Train 29, loss: 1.359001, mean_absolute_error: 0.922859, r2_score: 0.386462
Validation 29, loss: 1.121761, mean_absolute_error: 0.846711, r2_score: 0.506902
Train 30, loss: 1.315951, mean_absolute_error: 0.912781, r2_score: 0.405570
Validation 30, loss: 1.081785, mean_absolute_error: 0.822817, r2_score: 0.524475
Train 31, loss: 1.293553, mean_absolute_error: 0.903564, r2_score: 0.415880
Validation 31, loss: 1.090542, mean_absolute_error: 0.840569, r2_score: 0.520625
Train 32, loss: 1.287688, mean_absolute_error: 0.897684, r2_score: 0.418904
Validation 32, loss: 1.012889, mean_absolute_error: 0.798617, r2_score: 0.554760
Train 33, loss: 1.259961, mean_absolute_error: 0.888359, r2_score: 0.431332
Validation 33, loss: 0.986061, mean_absolute_error: 0.786528, r2_score: 0.566552
Train 34, loss: 1.243959, mean_absolute_error: 0.882724, r2_score: 0.438548
Validation 34, loss: 1.056478, mean_absolute_error: 0.817901, r2_score: 0.535599
Train 35, loss: 1.237101, mean_absolute_error: 0.878762, r2_score: 0.441480
Validation 35, loss: 0.939409, mean_absolute_error: 0.773137, r2_score: 0.587059
Train 36, loss: 1.228900, mean_absolute_error: 0.878050, r2_score: 0.445417
Validation 36, loss: 1.113074, mean_absolute_error: 0.834234, r2_score: 0.510721
Train 37, loss: 1.233523, mean_absolute_error: 0.880314, r2_score: 0.443402
Validation 37, loss: 1.176443, mean_absolute_error: 0.810392, r2_score: 0.482865
Train 38, loss: 1.224977, mean_absolute_error: 0.874193, r2_score: 0.447199
Validation 38, loss: 1.083373, mean_absolute_error: 0.837755, r2_score: 0.523776
Train 39, loss: 1.224682, mean_absolute_error: 0.874982, r2_score: 0.447182
Validation 39, loss: 0.942656, mean_absolute_error: 0.771691, r2_score: 0.585632
Train 40, loss: 1.196288, mean_absolute_error: 0.861037, r2_score: 0.460132
Validation 40, loss: 0.951295, mean_absolute_error: 0.789402, r2_score: 0.581835
Train 41, loss: 1.198191, mean_absolute_error: 0.861703, r2_score: 0.459244
Validation 41, loss: 0.968050, mean_absolute_error: 0.788895, r2_score: 0.574470
Train 42, loss: 1.175691, mean_absolute_error: 0.857777, r2_score: 0.469197
Validation 42, loss: 1.057879, mean_absolute_error: 0.822076, r2_score: 0.534983
Train 43, loss: 1.181063, mean_absolute_error: 0.858479, r2_score: 0.467068
Validation 43, loss: 0.874477, mean_absolute_error: 0.737782, r2_score: 0.615602
Train 44, loss: 1.166657, mean_absolute_error: 0.855005, r2_score: 0.473580
Validation 44, loss: 0.938401, mean_absolute_error: 0.782904, r2_score: 0.587503
Train 45, loss: 1.172224, mean_absolute_error: 0.851817, r2_score: 0.471004
Validation 45, loss: 1.082706, mean_absolute_error: 0.837426, r2_score: 0.524070
Train 46, loss: 1.174637, mean_absolute_error: 0.854268, r2_score: 0.469817
Validation 46, loss: 0.940525, mean_absolute_error: 0.784942, r2_score: 0.586569
Train 47, loss: 1.156282, mean_absolute_error: 0.850449, r2_score: 0.478234
Validation 47, loss: 0.944206, mean_absolute_error: 0.781309, r2_score: 0.584951
Train 48, loss: 1.149480, mean_absolute_error: 0.845554, r2_score: 0.481290
Validation 48, loss: 0.919108, mean_absolute_error: 0.777215, r2_score: 0.595983
Train 49, loss: 1.156432, mean_absolute_error: 0.845200, r2_score: 0.477952
Validation 49, loss: 0.878117, mean_absolute_error: 0.743906, r2_score: 0.614002
Train 50, loss: 1.122151, mean_absolute_error: 0.832117, r2_score: 0.493463
Validation 50, loss: 0.909686, mean_absolute_error: 0.746877, r2_score: 0.600125
Train 51, loss: 1.114918, mean_absolute_error: 0.830100, r2_score: 0.496947
Validation 51, loss: 0.945686, mean_absolute_error: 0.750633, r2_score: 0.584301
Train 52, loss: 1.121422, mean_absolute_error: 0.835465, r2_score: 0.493913
Validation 52, loss: 0.881283, mean_absolute_error: 0.734587, r2_score: 0.612610
Train 53, loss: 1.123892, mean_absolute_error: 0.836028, r2_score: 0.492732
Validation 53, loss: 0.861521, mean_absolute_error: 0.738192, r2_score: 0.621297
Train 54, loss: 1.100680, mean_absolute_error: 0.825610, r2_score: 0.503120
Validation 54, loss: 0.882410, mean_absolute_error: 0.756373, r2_score: 0.612115
Train 55, loss: 1.108964, mean_absolute_error: 0.830316, r2_score: 0.499231
Validation 55, loss: 0.879131, mean_absolute_error: 0.752613, r2_score: 0.613556
Train 56, loss: 1.093698, mean_absolute_error: 0.825574, r2_score: 0.506265
Validation 56, loss: 0.909204, mean_absolute_error: 0.763126, r2_score: 0.600337
Train 57, loss: 1.088324, mean_absolute_error: 0.821491, r2_score: 0.508713
Validation 57, loss: 0.941356, mean_absolute_error: 0.778216, r2_score: 0.586204
Train 58, loss: 1.086738, mean_absolute_error: 0.820115, r2_score: 0.509548
Validation 58, loss: 0.851339, mean_absolute_error: 0.729345, r2_score: 0.625773
Train 59, loss: 1.110440, mean_absolute_error: 0.833220, r2_score: 0.498735
Validation 59, loss: 1.070040, mean_absolute_error: 0.833886, r2_score: 0.529638
Train 60, loss: 1.078745, mean_absolute_error: 0.819078, r2_score: 0.513157
Validation 60, loss: 0.832263, mean_absolute_error: 0.717037, r2_score: 0.634158
Train 61, loss: 1.072390, mean_absolute_error: 0.817864, r2_score: 0.516144
Validation 61, loss: 0.871177, mean_absolute_error: 0.747215, r2_score: 0.617053
Train 62, loss: 1.071428, mean_absolute_error: 0.818635, r2_score: 0.516571
Validation 62, loss: 0.847332, mean_absolute_error: 0.733817, r2_score: 0.627534
Train 63, loss: 1.080191, mean_absolute_error: 0.818320, r2_score: 0.512213
Validation 63, loss: 0.889784, mean_absolute_error: 0.764584, r2_score: 0.608874
Train 64, loss: 1.069414, mean_absolute_error: 0.815153, r2_score: 0.517189
Validation 64, loss: 0.996251, mean_absolute_error: 0.798389, r2_score: 0.562073
Train 65, loss: 1.063343, mean_absolute_error: 0.810629, r2_score: 0.519776
Validation 65, loss: 0.986528, mean_absolute_error: 0.791815, r2_score: 0.566347
Train 66, loss: 1.050098, mean_absolute_error: 0.807391, r2_score: 0.526016
Validation 66, loss: 0.907816, mean_absolute_error: 0.774870, r2_score: 0.600947
Train 67, loss: 1.069638, mean_absolute_error: 0.813147, r2_score: 0.517291
Validation 67, loss: 0.840113, mean_absolute_error: 0.725897, r2_score: 0.630708
Train 68, loss: 1.067483, mean_absolute_error: 0.813047, r2_score: 0.518268
Validation 68, loss: 0.842638, mean_absolute_error: 0.738022, r2_score: 0.629598
Train 69, loss: 1.049696, mean_absolute_error: 0.806720, r2_score: 0.526293
Validation 69, loss: 0.808044, mean_absolute_error: 0.707053, r2_score: 0.644804
Train 70, loss: 1.040440, mean_absolute_error: 0.800894, r2_score: 0.530442
Validation 70, loss: 0.883457, mean_absolute_error: 0.758314, r2_score: 0.611654
Train 71, loss: 1.073017, mean_absolute_error: 0.813314, r2_score: 0.515554
Validation 71, loss: 0.828666, mean_absolute_error: 0.718544, r2_score: 0.635739
Train 72, loss: 1.046324, mean_absolute_error: 0.804622, r2_score: 0.527590
Validation 72, loss: 0.841437, mean_absolute_error: 0.728295, r2_score: 0.630126
Train 73, loss: 1.049580, mean_absolute_error: 0.804354, r2_score: 0.526178
Validation 73, loss: 0.833941, mean_absolute_error: 0.723428, r2_score: 0.633421
Train 74, loss: 1.037227, mean_absolute_error: 0.801237, r2_score: 0.531867
Validation 74, loss: 0.853822, mean_absolute_error: 0.741319, r2_score: 0.624682
Train 75, loss: 1.043617, mean_absolute_error: 0.799765, r2_score: 0.528752
Validation 75, loss: 0.912662, mean_absolute_error: 0.773716, r2_score: 0.598817
Train 76, loss: 1.050192, mean_absolute_error: 0.803410, r2_score: 0.525920
Validation 76, loss: 0.860463, mean_absolute_error: 0.737290, r2_score: 0.621762
Train 77, loss: 1.039573, mean_absolute_error: 0.799033, r2_score: 0.530927
Validation 77, loss: 0.811254, mean_absolute_error: 0.710163, r2_score: 0.643393
Train 78, loss: 1.022161, mean_absolute_error: 0.795491, r2_score: 0.538691
Validation 78, loss: 0.836385, mean_absolute_error: 0.732227, r2_score: 0.632346
Train 79, loss: 1.024490, mean_absolute_error: 0.794186, r2_score: 0.537754
Validation 79, loss: 0.824083, mean_absolute_error: 0.717134, r2_score: 0.637754
Train 80, loss: 1.028872, mean_absolute_error: 0.794948, r2_score: 0.535615
Validation 80, loss: 0.882544, mean_absolute_error: 0.760604, r2_score: 0.612056
Train 81, loss: 1.022464, mean_absolute_error: 0.796945, r2_score: 0.538424
Validation 81, loss: 0.870359, mean_absolute_error: 0.747718, r2_score: 0.617412
Train 82, loss: 1.038104, mean_absolute_error: 0.798051, r2_score: 0.531564
Validation 82, loss: 0.843977, mean_absolute_error: 0.726992, r2_score: 0.629009
Train 83, loss: 1.015877, mean_absolute_error: 0.791952, r2_score: 0.541514
Validation 83, loss: 0.784228, mean_absolute_error: 0.697457, r2_score: 0.655273
Train 84, loss: 1.022090, mean_absolute_error: 0.792479, r2_score: 0.538690
Validation 84, loss: 0.831214, mean_absolute_error: 0.724862, r2_score: 0.634619
Train 85, loss: 1.011503, mean_absolute_error: 0.787819, r2_score: 0.543629
Validation 85, loss: 0.942753, mean_absolute_error: 0.788360, r2_score: 0.585590
Train 86, loss: 1.010185, mean_absolute_error: 0.790886, r2_score: 0.544260
Validation 86, loss: 0.791358, mean_absolute_error: 0.697619, r2_score: 0.652139
Train 87, loss: 1.005406, mean_absolute_error: 0.788995, r2_score: 0.546178
Validation 87, loss: 0.779266, mean_absolute_error: 0.689661, r2_score: 0.657454
Train 88, loss: 0.998950, mean_absolute_error: 0.782966, r2_score: 0.548951
Validation 88, loss: 0.885754, mean_absolute_error: 0.746675, r2_score: 0.610645
Train 89, loss: 1.018981, mean_absolute_error: 0.791744, r2_score: 0.539657
Validation 89, loss: 0.789161, mean_absolute_error: 0.705908, r2_score: 0.653105
Train 90, loss: 0.995914, mean_absolute_error: 0.784304, r2_score: 0.550516
Validation 90, loss: 0.799314, mean_absolute_error: 0.710528, r2_score: 0.648642
Train 91, loss: 0.989335, mean_absolute_error: 0.782404, r2_score: 0.553449
Validation 91, loss: 0.799267, mean_absolute_error: 0.695681, r2_score: 0.648663
Train 92, loss: 0.981767, mean_absolute_error: 0.778462, r2_score: 0.557037
Validation 92, loss: 0.819275, mean_absolute_error: 0.701619, r2_score: 0.639867
Train 93, loss: 1.001340, mean_absolute_error: 0.783068, r2_score: 0.548056
Validation 93, loss: 0.826374, mean_absolute_error: 0.722642, r2_score: 0.636747
Train 94, loss: 0.979417, mean_absolute_error: 0.773377, r2_score: 0.557912
Validation 94, loss: 0.773924, mean_absolute_error: 0.680708, r2_score: 0.659803
Train 95, loss: 0.973280, mean_absolute_error: 0.771127, r2_score: 0.560632
Validation 95, loss: 0.798628, mean_absolute_error: 0.704761, r2_score: 0.648943
Train 96, loss: 0.968882, mean_absolute_error: 0.773353, r2_score: 0.562842
Validation 96, loss: 0.801909, mean_absolute_error: 0.710703, r2_score: 0.647501
Train 97, loss: 0.955420, mean_absolute_error: 0.769259, r2_score: 0.568743
Validation 97, loss: 0.758538, mean_absolute_error: 0.680165, r2_score: 0.666566
Train 98, loss: 0.951936, mean_absolute_error: 0.764536, r2_score: 0.570035
Validation 98, loss: 0.770180, mean_absolute_error: 0.701595, r2_score: 0.661448
Train 99, loss: 0.960112, mean_absolute_error: 0.768679, r2_score: 0.566312
Validation 99, loss: 0.734865, mean_absolute_error: 0.668174, r2_score: 0.676972
Train 100, loss: 0.951568, mean_absolute_error: 0.765682, r2_score: 0.570475
Validation 100, loss: 0.755737, mean_absolute_error: 0.682077, r2_score: 0.667797
Train 101, loss: 0.938860, mean_absolute_error: 0.759238, r2_score: 0.576305
Validation 101, loss: 0.758531, mean_absolute_error: 0.680254, r2_score: 0.666569
Train 102, loss: 0.945338, mean_absolute_error: 0.759929, r2_score: 0.573227
Validation 102, loss: 0.764270, mean_absolute_error: 0.680665, r2_score: 0.664046
Train 103, loss: 0.939745, mean_absolute_error: 0.758259, r2_score: 0.575601
Validation 103, loss: 0.798429, mean_absolute_error: 0.713887, r2_score: 0.649031
Train 104, loss: 0.950595, mean_absolute_error: 0.762572, r2_score: 0.571023
Validation 104, loss: 0.773770, mean_absolute_error: 0.693532, r2_score: 0.659870
Train 105, loss: 0.951737, mean_absolute_error: 0.763305, r2_score: 0.570583
Validation 105, loss: 0.798768, mean_absolute_error: 0.718757, r2_score: 0.648882
Train 106, loss: 0.951475, mean_absolute_error: 0.763178, r2_score: 0.570648
Validation 106, loss: 0.800933, mean_absolute_error: 0.719818, r2_score: 0.647930
Train 107, loss: 0.927262, mean_absolute_error: 0.753870, r2_score: 0.581457
Validation 107, loss: 0.852961, mean_absolute_error: 0.748148, r2_score: 0.625060
Train 108, loss: 0.944767, mean_absolute_error: 0.760126, r2_score: 0.573716
Validation 108, loss: 0.765799, mean_absolute_error: 0.691978, r2_score: 0.663374
Train 109, loss: 0.923454, mean_absolute_error: 0.753105, r2_score: 0.583184
Validation 109, loss: 0.728789, mean_absolute_error: 0.672012, r2_score: 0.679643
Train 110, loss: 0.936078, mean_absolute_error: 0.756234, r2_score: 0.577451
Validation 110, loss: 0.773682, mean_absolute_error: 0.696760, r2_score: 0.659909
Train 111, loss: 0.923677, mean_absolute_error: 0.754233, r2_score: 0.583022
Validation 111, loss: 0.756790, mean_absolute_error: 0.686303, r2_score: 0.667334
Train 112, loss: 0.922133, mean_absolute_error: 0.750603, r2_score: 0.583753
Validation 112, loss: 0.752903, mean_absolute_error: 0.696288, r2_score: 0.669043
Train 113, loss: 0.954912, mean_absolute_error: 0.762239, r2_score: 0.569024
Validation 113, loss: 0.761058, mean_absolute_error: 0.700664, r2_score: 0.665458
Train 114, loss: 0.911927, mean_absolute_error: 0.746589, r2_score: 0.588280
Validation 114, loss: 0.821226, mean_absolute_error: 0.733698, r2_score: 0.639010
Train 115, loss: 0.931984, mean_absolute_error: 0.754847, r2_score: 0.579216
Validation 115, loss: 0.743740, mean_absolute_error: 0.689304, r2_score: 0.673071
Train 116, loss: 0.935787, mean_absolute_error: 0.754007, r2_score: 0.577683
Validation 116, loss: 0.748155, mean_absolute_error: 0.668636, r2_score: 0.671130
Train 117, loss: 0.899126, mean_absolute_error: 0.740098, r2_score: 0.594246
Validation 117, loss: 0.721214, mean_absolute_error: 0.675412, r2_score: 0.682973
Train 118, loss: 0.930188, mean_absolute_error: 0.751616, r2_score: 0.580229
Validation 118, loss: 0.778931, mean_absolute_error: 0.708334, r2_score: 0.657601
Train 119, loss: 0.912737, mean_absolute_error: 0.743478, r2_score: 0.588092
Validation 119, loss: 0.719234, mean_absolute_error: 0.657943, r2_score: 0.683843
Train 120, loss: 0.906982, mean_absolute_error: 0.745415, r2_score: 0.590608
Validation 120, loss: 0.765017, mean_absolute_error: 0.701142, r2_score: 0.663718
Train 121, loss: 0.885003, mean_absolute_error: 0.735020, r2_score: 0.600394
Validation 121, loss: 0.783261, mean_absolute_error: 0.689828, r2_score: 0.655698
Train 122, loss: 0.911509, mean_absolute_error: 0.743356, r2_score: 0.588510
Validation 122, loss: 0.780247, mean_absolute_error: 0.703438, r2_score: 0.657023
Train 123, loss: 0.891699, mean_absolute_error: 0.733490, r2_score: 0.597473
Validation 123, loss: 0.715045, mean_absolute_error: 0.663435, r2_score: 0.685684
Train 124, loss: 0.901299, mean_absolute_error: 0.741738, r2_score: 0.593291
Validation 124, loss: 0.720182, mean_absolute_error: 0.664797, r2_score: 0.683426
Train 125, loss: 0.902161, mean_absolute_error: 0.738634, r2_score: 0.592735
Validation 125, loss: 0.725929, mean_absolute_error: 0.676904, r2_score: 0.680900
Train 126, loss: 0.888797, mean_absolute_error: 0.735067, r2_score: 0.598615
Validation 126, loss: 0.707243, mean_absolute_error: 0.658323, r2_score: 0.689114
Train 127, loss: 0.890739, mean_absolute_error: 0.737421, r2_score: 0.597871
Validation 127, loss: 0.734887, mean_absolute_error: 0.681883, r2_score: 0.676962
Train 128, loss: 0.892030, mean_absolute_error: 0.733970, r2_score: 0.597227
Validation 128, loss: 0.735168, mean_absolute_error: 0.674032, r2_score: 0.676839
Train 129, loss: 0.886855, mean_absolute_error: 0.732362, r2_score: 0.599859
Validation 129, loss: 0.738098, mean_absolute_error: 0.681848, r2_score: 0.675551
Train 130, loss: 0.863539, mean_absolute_error: 0.723441, r2_score: 0.610216
Validation 130, loss: 0.763345, mean_absolute_error: 0.701262, r2_score: 0.664453
Train 131, loss: 0.880670, mean_absolute_error: 0.729463, r2_score: 0.602440
Validation 131, loss: 0.715738, mean_absolute_error: 0.650569, r2_score: 0.685380
Train 132, loss: 0.882347, mean_absolute_error: 0.728880, r2_score: 0.601759
Validation 132, loss: 0.751704, mean_absolute_error: 0.682139, r2_score: 0.669570
Train 133, loss: 0.876348, mean_absolute_error: 0.729310, r2_score: 0.604309
Validation 133, loss: 0.717587, mean_absolute_error: 0.653809, r2_score: 0.684567
Train 134, loss: 0.870392, mean_absolute_error: 0.725169, r2_score: 0.606998
Validation 134, loss: 0.685240, mean_absolute_error: 0.645197, r2_score: 0.698786
Train 135, loss: 0.877850, mean_absolute_error: 0.725433, r2_score: 0.603860
Validation 135, loss: 0.792692, mean_absolute_error: 0.715671, r2_score: 0.651552
Train 136, loss: 0.872848, mean_absolute_error: 0.725918, r2_score: 0.606032
Validation 136, loss: 0.703387, mean_absolute_error: 0.643156, r2_score: 0.690809
Train 137, loss: 0.870775, mean_absolute_error: 0.726124, r2_score: 0.606952
Validation 137, loss: 0.681466, mean_absolute_error: 0.640016, r2_score: 0.700445
Train 138, loss: 0.877750, mean_absolute_error: 0.726714, r2_score: 0.603815
Validation 138, loss: 0.718461, mean_absolute_error: 0.662155, r2_score: 0.684183
Train 139, loss: 0.863477, mean_absolute_error: 0.719566, r2_score: 0.610210
Validation 139, loss: 0.705550, mean_absolute_error: 0.664921, r2_score: 0.689858
Train 140, loss: 0.853700, mean_absolute_error: 0.718991, r2_score: 0.614653
Validation 140, loss: 0.775510, mean_absolute_error: 0.700229, r2_score: 0.659105
Train 141, loss: 0.845223, mean_absolute_error: 0.712952, r2_score: 0.618487
Validation 141, loss: 0.721208, mean_absolute_error: 0.679604, r2_score: 0.682975
Train 142, loss: 0.860852, mean_absolute_error: 0.718298, r2_score: 0.611522
Validation 142, loss: 0.744187, mean_absolute_error: 0.684637, r2_score: 0.672874
Train 143, loss: 0.848142, mean_absolute_error: 0.714920, r2_score: 0.617083
Validation 143, loss: 0.754482, mean_absolute_error: 0.684846, r2_score: 0.668349
Train 144, loss: 0.844385, mean_absolute_error: 0.713554, r2_score: 0.618845
Validation 144, loss: 0.770787, mean_absolute_error: 0.700481, r2_score: 0.661182
Train 145, loss: 0.845809, mean_absolute_error: 0.715563, r2_score: 0.618186
Validation 145, loss: 0.685511, mean_absolute_error: 0.636333, r2_score: 0.698667
Train 146, loss: 0.848506, mean_absolute_error: 0.715293, r2_score: 0.616920
Validation 146, loss: 0.708320, mean_absolute_error: 0.657147, r2_score: 0.688640
Train 147, loss: 0.862173, mean_absolute_error: 0.718441, r2_score: 0.610859
Validation 147, loss: 0.743758, mean_absolute_error: 0.669233, r2_score: 0.673063
Train 148, loss: 0.848761, mean_absolute_error: 0.716951, r2_score: 0.616943
Validation 148, loss: 0.727581, mean_absolute_error: 0.665761, r2_score: 0.680174
Train 149, loss: 0.865312, mean_absolute_error: 0.719912, r2_score: 0.609246
Validation 149, loss: 0.734809, mean_absolute_error: 0.687714, r2_score: 0.676997
Train 150, loss: 0.842299, mean_absolute_error: 0.710049, r2_score: 0.619882
Validation 150, loss: 0.727265, mean_absolute_error: 0.679612, r2_score: 0.680313
Train 151, loss: 0.839326, mean_absolute_error: 0.709927, r2_score: 0.621107
Validation 151, loss: 0.700822, mean_absolute_error: 0.648091, r2_score: 0.691936
Train 152, loss: 0.844230, mean_absolute_error: 0.712392, r2_score: 0.618929
Validation 152, loss: 0.706742, mean_absolute_error: 0.652333, r2_score: 0.689334
Train 153, loss: 0.849172, mean_absolute_error: 0.713537, r2_score: 0.616800
Validation 153, loss: 0.733524, mean_absolute_error: 0.672624, r2_score: 0.677562
Train 154, loss: 0.851442, mean_absolute_error: 0.713230, r2_score: 0.615758
Validation 154, loss: 0.730281, mean_absolute_error: 0.671421, r2_score: 0.678987
Train 155, loss: 0.834146, mean_absolute_error: 0.707193, r2_score: 0.623196
Validation 155, loss: 0.762575, mean_absolute_error: 0.690282, r2_score: 0.664791
Train 156, loss: 0.836611, mean_absolute_error: 0.708101, r2_score: 0.622120
Validation 156, loss: 0.703159, mean_absolute_error: 0.662579, r2_score: 0.690909
Train 157, loss: 0.831762, mean_absolute_error: 0.707873, r2_score: 0.624665
Validation 157, loss: 0.745642, mean_absolute_error: 0.679982, r2_score: 0.672235
Train 158, loss: 0.836692, mean_absolute_error: 0.705565, r2_score: 0.622465
Validation 158, loss: 0.717167, mean_absolute_error: 0.674529, r2_score: 0.684751
Train 159, loss: 0.842048, mean_absolute_error: 0.711778, r2_score: 0.619887
Validation 159, loss: 0.719755, mean_absolute_error: 0.666569, r2_score: 0.683614
Train 160, loss: 0.831386, mean_absolute_error: 0.707186, r2_score: 0.624920
Validation 160, loss: 0.701170, mean_absolute_error: 0.659015, r2_score: 0.691784
Train 161, loss: 0.824113, mean_absolute_error: 0.702455, r2_score: 0.628042
Validation 161, loss: 0.702000, mean_absolute_error: 0.657408, r2_score: 0.691418
Train 162, loss: 0.838260, mean_absolute_error: 0.707257, r2_score: 0.621441
Validation 162, loss: 0.690925, mean_absolute_error: 0.651417, r2_score: 0.696287
Train 163, loss: 0.822793, mean_absolute_error: 0.703570, r2_score: 0.628647
Validation 163, loss: 0.681783, mean_absolute_error: 0.648875, r2_score: 0.700306
Train 164, loss: 0.828228, mean_absolute_error: 0.706842, r2_score: 0.626180
Validation 164, loss: 0.708771, mean_absolute_error: 0.665579, r2_score: 0.688442
Train 165, loss: 0.820031, mean_absolute_error: 0.701466, r2_score: 0.629690
Validation 165, loss: 0.683595, mean_absolute_error: 0.643666, r2_score: 0.699509
Train 166, loss: 0.827894, mean_absolute_error: 0.705920, r2_score: 0.626363
Validation 166, loss: 0.740643, mean_absolute_error: 0.667990, r2_score: 0.674432
Train 167, loss: 0.825210, mean_absolute_error: 0.697743, r2_score: 0.627405
Validation 167, loss: 0.697644, mean_absolute_error: 0.638346, r2_score: 0.693333
Train 168, loss: 0.832981, mean_absolute_error: 0.707503, r2_score: 0.623620
